,id,linenum,value,var
0,211001.0,,5,211186
1,211001.0,,2,211195
2,211002.0,,3,211156
3,211002.0,,4,211196
4,211003.0,,2,211157
5,211003.0,,4,211022
6,211004.0,,2,211177
7,211004.0,,3,211190
8,211005.0,,5,211162
9,211005.0,,5,211175
10,211006.0,,2,211173
11,211006.0,,4,211153
12,211007.0,,1,211028
13,211007.0,,2,211159
14,211009.0,,4,211018
15,211009.0,,2,211034
16,211013.0,,2,211162
17,211013.0,,2,211176
18,211014.0,,5,211190
19,211014.0,,5,211032
20,211015.0,,1,211050
21,211015.0,,4,211173
22,211018.0,,1,211155
23,211018.0,,5,211193
24,211019.0,,2,211195
25,211019.0,,4,211197
26,211020.0,,5,211184
27,211020.0,,2,211199
28,211021.0,,2,211164
29,211021.0,,4,211198
30,211024.0,,5,211158
31,211024.0,,5,211157
32,211025.0,,5,211152
33,211025.0,,4,211152
34,211026.0,,1,211187
35,211026.0,,1,211022
36,211039.0,,4,211019
37,211039.0,,4,211152
38,211040.0,,4,211181
39,211040.0,,2,211019
40,211045.0,,3,211157
41,211045.0,,1,211041
42,211047.0,,5,211176
43,211047.0,,4,211160
44,211048.0,,5,211178
45,211048.0,,1,211050
46,211049.0,,2,211162
47,211049.0,,5,211004
48,211050.0,,4,211033
49,211050.0,,1,211169
50,211051.0,,4,211199
51,211051.0,,4,211166
52,211151.0,,3,211007
53,211151.0,,2,211030
54,211152.0,,3,211002
55,211152.0,,5,211180
56,211153.0,,5,211047
57,211153.0,,1,211001
58,211154.0,,2,211049
59,211154.0,,3,211002
60,211155.0,,2,211195
61,211155.0,,2,211176
62,211156.0,,3,211051
63,211156.0,,3,211032
64,211157.0,,2,211156
65,211157.0,,4,211152
66,211159.0,,5,211168
67,211159.0,,1,211012
68,211167.0,,5,211158
69,211167.0,,3,211049
70,211168.0,,2,211167
71,211168.0,,3,211028
72,211172.0,,4,211013
73,211172.0,,2,211193
74,211173.0,,1,211162
75,211173.0,,4,211015
76,211175.0,,3,211178
77,211175.0,,5,211004
78,211176.0,,3,211183
79,211176.0,,3,211168
80,211178.0,,1,211172
81,211178.0,,5,211166
82,211179.0,,2,211010
83,211179.0,,5,211001
84,211180.0,,2,211158
85,211180.0,,5,211027
86,211181.0,,3,211173
87,211181.0,,4,211193
88,211182.0,,3,211195
89,211182.0,,4,211025
90,211186.0,,4,211026
91,211186.0,,1,211158
92,211187.0,,3,211006
93,211187.0,,1,211051
94,211188.0,,1,211040
95,211188.0,,3,211174
96,211189.0,,2,211051
97,211189.0,,1,211155
98,211190.0,,1,211003
99,211190.0,,3,211024
100,211192.0,,3,211162
101,211192.0,,2,211178
102,211001.0,,1,211013
103,211001.0,,1,211197
104,211002.0,,2,211196
105,211002.0,,1,211021
106,211003.0,,1,211015
107,211003.0,,1,211015
108,211006.0,,5,211172
109,211006.0,,5,211158
110,211009.0,,5,211192
111,211009.0,,5,211196
112,211013.0,,2,211155
113,211013.0,,3,211021
114,211015.0,,2,211048
115,211015.0,,1,211184
116,211018.0,,2,211025
117,211018.0,,5,211190
118,211019.0,,1,211012
119,211019.0,,1,211188
120,211021.0,,1,211181
121,211021.0,,3,211020
122,211024.0,,1,211162
123,211024.0,,2,211159
