,id,var,value
319,111031,111039,1
320,111037,111093,1
321,111038,111022,4
322,111039,111045,4
323,111042,111026,5
324,111043,111032,1
325,111044,111037,3
326,111046,111001,5
327,111047,111052,3
328,111048,111097,1
329,111049,111089,1
330,111050,111072,1
331,111051,111003,2
332,111053,111095,3
333,111056,111016,5
334,111057,111003,2
335,111063,111048,4
336,111066,111092,5
337,111067,111030,4
338,111068,111083,3
339,111069,111056,3
340,111070,111086,2
341,111071,111061,1
342,111072,111074,5
343,111074,111024,4
344,111081,111047,4
345,111084,111045,1
346,111086,111072,2
347,111088,111085,3
348,111090,111038,4
349,111093,111045,3
350,111074,111018,3
351,111031,111084,4
352,111013,111063,2
353,111031,111009,1
354,111067,111069,2
355,111072,111037,5
356,111007,111077,4
357,111014,111080,5
358,111015,111082,1
359,111017,111069,4
360,111018,111063,5
361,111032,111080,2
362,111046,111008,1
363,111068,111084,5
364,111070,111037,2
365,111071,111008,4
366,111081,111026,3
367,111083,111077,4
368,111008,111086,4
369,111011,111092,1
370,111013,111019,3
371,111015,111049,3
372,111016,111007,3
373,111027,111051,4
374,111031,111043,1
375,111053,111041,5
376,111054,111094,3
377,111055,111092,2
378,111061,111043,3
379,111064,111053,4
380,111086,111056,5
381,111014,111090,4
382,111077,111041,1
383,111053,111048,3
384,111058,111072,4
385,111063,111053,3
386,111003,Farmers,5
387,111008,Farmers,5
388,111009,Farmers,2
389,111017,Farmers,5
390,111023,Farmers,5
391,111026,Farmers,3
392,111027,Farmers,2
393,111029,Farmers,3
394,111037,Farmers,2
395,111048,Farmers,1
396,111057,Farmers,5
397,111074,Farmers,5
398,111079,Farmers,2
399,111080,Farmers,2
400,111084,Farmers,1
401,111088,Farmers,2
402,111099,Farmers,2
403,111001,Neighbor/friend,2
404,111003,Neighbor/friend,2
405,111005,Neighbor/friend,5
406,111011,Neighbor/friend,5
407,111013,Neighbor/friend,5
408,111014,Neighbor/friend,5
409,111015,Neighbor/friend,5
410,111016,Neighbor/friend,5
411,111020,Neighbor/friend,4
412,111021,Neighbor/friend,1
413,111022,Neighbor/friend,3
414,111029,Neighbor/friend,3
415,111037,Neighbor/friend,2
416,111043,Neighbor/friend,4
417,111048,Neighbor/friend,1
418,111052,Neighbor/friend,5
419,111053,Neighbor/friend,5
420,111054,Neighbor/friend,4
421,111055,Neighbor/friend,4
422,111056,Neighbor/friend,5
423,111057,Neighbor/friend,5
424,111058,Neighbor/friend,4
425,111061,Neighbor/friend,5
426,111063,Neighbor/friend,4
427,111064,Neighbor/friend,4
428,111066,Neighbor/friend,5
429,111069,Neighbor/friend,1
430,111073,Neighbor/friend,3
431,111074,Neighbor/friend,5
432,111076,Neighbor/friend,2
433,111077,Neighbor/friend,2
434,111079,Neighbor/friend,2
435,111083,Neighbor/friend,2
436,111085,Neighbor/friend,1
437,111086,Neighbor/friend,2
438,111087,Neighbor/friend,5
439,111089,Neighbor/friend,2
440,111091,Neighbor/friend,5
441,111093,Neighbor/friend,2
442,111094,Neighbor/friend,4
443,111095,Neighbor/friend,2
444,111098,Neighbor/friend,3
445,111001,Weekly market vendor,2
446,111003,Weekly market vendor,5
447,111008,Weekly market vendor,3
448,111011,Weekly market vendor,5
449,111013,Weekly market vendor,5
450,111019,Weekly market vendor,5
451,111021,Weekly market vendor,2
452,111022,Weekly market vendor,5
453,111023,Weekly market vendor,5
454,111026,Weekly market vendor,2
455,111030,Weekly market vendor,5
456,111031,Weekly market vendor,5
457,111041,Weekly market vendor,2
458,111043,Weekly market vendor,2
459,111044,Weekly market vendor,2
460,111045,Weekly market vendor,2
461,111053,Weekly market vendor,2
462,111054,Weekly market vendor,5
463,111074,Weekly market vendor,5
464,111078,Weekly market vendor,2
465,111082,Weekly market vendor,2
466,111083,Weekly market vendor,1
467,111085,Weekly market vendor,2
468,111087,Weekly market vendor,5
469,111089,Weekly market vendor,4
470,111093,Weekly market vendor,4
471,111099,Weekly market vendor,4
472,111101,Weekly market vendor,3
473,111008,Urban vendor,3
474,111010,Urban vendor,2
475,111011,Urban vendor,2
476,111014,Urban vendor,5
477,111019,Urban vendor,2
478,111027,Urban vendor,2
479,111031,Urban vendor,2
480,111033,Urban vendor,2
481,111052,Urban vendor,2
482,111066,Urban vendor,2
483,111074,Urban vendor,5
484,111077,Urban vendor,2
485,111081,Urban vendor,2
486,111090,Urban vendor,2
487,111005,Vendor in agro-vet shop,2
488,111007,Vendor in agro-vet shop,2
489,111009,Vendor in agro-vet shop,2
490,111013,Vendor in agro-vet shop,3
491,111014,Vendor in agro-vet shop,3
492,111017,Vendor in agro-vet shop,3
493,111018,Vendor in agro-vet shop,2
494,111019,Vendor in agro-vet shop,2
495,111020,Vendor in agro-vet shop,2
496,111021,Vendor in agro-vet shop,2
497,111022,Vendor in agro-vet shop,2
498,111033,Vendor in agro-vet shop,2
499,111035,Vendor in agro-vet shop,2
500,111038,Vendor in agro-vet shop,2
501,111044,Vendor in agro-vet shop,2
502,111046,Vendor in agro-vet shop,2
503,111049,Vendor in agro-vet shop,2
504,111053,Vendor in agro-vet shop,2
505,111060,Vendor in agro-vet shop,2
506,111067,Vendor in agro-vet shop,1
507,111068,Vendor in agro-vet shop,1
508,111070,Vendor in agro-vet shop,1
509,111071,Vendor in agro-vet shop,2
510,111072,Vendor in agro-vet shop,1
511,111074,Vendor in agro-vet shop,5
512,111080,Vendor in agro-vet shop,2
513,111081,Vendor in agro-vet shop,2
514,111088,Vendor in agro-vet shop,3
515,111089,Vendor in agro-vet shop,2
516,111090,Vendor in agro-vet shop,2
517,111091,Vendor in agro-vet shop,5
518,111092,Vendor in agro-vet shop,4
519,111100,Vendor in agro-vet shop,2
520,111101,Vendor in agro-vet shop,2
521,111064,Teacher,2
522,111086,Teacher,2
523,111004,Extension agent,2
524,111007,Extension agent,3
525,111017,Extension agent,3
526,111018,Extension agent,2
527,111024,Extension agent,2
528,111029,Extension agent,2
529,111031,Extension agent,4
530,111032,Extension agent,2
531,111035,Extension agent,1
532,111047,Extension agent,2
533,111048,Extension agent,2
534,111054,Extension agent,2
